ID Pengaduan,Issue Sosial,Provinsi,Kabupaten/Kota,Kecamatan,lat,lng,Tanggal Pengaduan,Severity Level,Status,Durasi Penyelesaian (Jam),Aksi Kriminal,Kriminal Teratasi,Pria,Wanita,Total
4498,Jalan Rusak,GORONTALO,POHUWATO,MARISA,0.4701607,121.958687,08/10/2025 22:45:13,3 - Sedang (2-12 Jam),Selesai,8.28,2,1,311,499,810
4499,Pencemaran Lingkungan,GORONTALO,KOTA GORONTALO,KOTA SELATAN,0.527153,123.058682,08/18/2025 02:32:13,3 - Sedang (2-12 Jam),Selesai,10.04,10,4,396,234,630
4500,Sampah,GORONTALO,KOTA GORONTALO,KOTA SELATAN,0.529511,123.058508,08/07/2025 00:28:13,4 - Rendah (>24 Jam),Selesai,2.3,43,42,340,43,383
4501,Bantuan Pendidikan,GORONTALO,POHUWATO,RANDANGAN,0.531398,121.736676,08/05/2025 16:19:13,4 - Rendah (>24 Jam),Dalam Proses,50.08,21,16,176,468,644
9595,Sampah,GORONTALO,KOTA GORONTALO,KOTA SELATAN,0.535252,123.058409,08/13/2025 08:33:13,4 - Rendah (>24 Jam),Ditugaskan,44.47,22,12,461,160,621
9596,Bantuan Kesehatan,GORONTALO,KOTA GORONTALO,KOTA SELATAN,0.5352523,123.0584089,08/05/2025 15:30:13,3 - Sedang (2-12 Jam),Selesai,8.82,38,34,347,19,366
8564,Gangguan Keamanan,GORONTALO,KOTA GORONTALO,KOTA TIMUR,0.535665,123.066943,08/07/2025 14:15:13,1 - Kritis (<30 Menit),Selesai,0.37,36,18,23,440,463
8565,Gangguan Keamanan,GORONTALO,KOTA GORONTALO,KOTA SELATAN,0.53623,123.05874,08/02/2025 16:22:13,1 - Kritis (<30 Menit),Selesai,0.18,47,44,24,386,410
9356,Banjir,GORONTALO,KOTA GORONTALO,KOTA TIMUR,0.5375812,123.0624791,08/06/2025 09:59:13,2  - Tinggi (1-2 Jam),Ditugaskan,4.36,14,7,413,425,838
9364,Gangguan Keamanan,GORONTALO,KOTA GORONTALO,KOTA TIMUR,0.5375946,123.0623674,08/16/2025 06:59:13,2  - Tinggi (1-2 Jam),Selesai,0.73,28,21,39,217,256
9370,Bantuan Kesehatan,GORONTALO,KOTA GORONTALO,KOTA TIMUR,0.538897,123.072298,08/17/2025 02:28:13,2  - Tinggi (1-2 Jam),Selesai,1.82,44,9,342,291,633
9372,Gangguan Keamanan,GORONTALO,KOTA GORONTALO,KOTA TIMUR,0.5409119,123.077276,08/18/2025 23:54:13,1 - Kritis (<30 Menit),Selesai,0.11,19,16,178,439,617
9373,Pencemaran Lingkungan,GORONTALO,KOTA GORONTALO,KOTA UTARA,0.541549,123.07646,08/21/2025 19:35:13,3 - Sedang (2-12 Jam),Selesai,6.37,42,38,117,371,488
9376,Pencemaran Lingkungan,GORONTALO,KOTA GORONTALO,KOTA SELATAN,0.543544,123.056769,08/07/2025 11:45:13,4 - Rendah (>24 Jam),Dalam Proses,56.63,0,0,94,353,447
9377,Pencemaran Lingkungan,GORONTALO,KOTA GORONTALO,KOTA SELATAN,0.5448665,123.0607306,08/21/2025 21:15:13,3 - Sedang (2-12 Jam),Selesai,21.94,12,10,82,478,560
9352,Sampah,GORONTALO,KOTA GORONTALO,KOTA SELATAN,0.5449917,123.0538424,08/11/2025 17:02:13,3 - Sedang (2-12 Jam),Selesai,6.68,0,0,66,117,183
9355,Gangguan Keamanan,GORONTALO,KOTA GORONTALO,KOTA SELATAN,0.545953,123.060768,08/17/2025 17:51:13,1 - Kritis (<30 Menit),Selesai,2.02,5,2,310,36,346
9365,Sampah,GORONTALO,KOTA GORONTALO,KOTA SELATAN,0.5463392,123.0604892,08/11/2025 03:12:13,3 - Sedang (2-12 Jam),Selesai,10.43,21,17,36,53,89
